Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_1.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_2.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_3.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_4.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_5.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_6.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_7.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_8.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_9.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_10.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_11.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_12.raw
O95476,CNEP1_HUMAN,CTDNEP1,CTD nuclear envelope phosphatase 1,,,,,514755,507496,579264,437655,489934,320590,359626,302780
O95486,SC24A_HUMAN,SEC24A,Protein transport protein Sec24A,8990540,6928590,7037550,5701940,6724470,6665680,7780380,6417750,6875830,6989330,6352670,6947350
O95487,SC24B_HUMAN,SEC24B,Protein transport protein Sec24B,353081,231229,272730,282237,353252,325853,396234,409653,414007,318008,349157,348861
O95490,AGRL2_HUMAN,ADGRL2,Adhesion G protein-coupled receptor L2,,,,,722328,822871,845979,712842,688328,933052,850455,862081
O95528,GTR10_HUMAN,SLC2A10,"Solute carrier family 2, facilitated glucose transporter member 10",,,,,117144,97820.4,91826.6,104414,83567.2,72703,101501,71572.6
O95573,ACSL3_HUMAN,ACSL3,Fatty acid CoA ligase Acsl3,672243,947404,755721,871647,11063000,11506500,11698800,10284700,5481660,5952860,5386040,5312680
O95639,CPSF4_HUMAN,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,228131,180724,175918,164000,276996,175460,252368,256737,230494,247556,196750,183845
O95671,ASML_HUMAN,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,,,,,142893,133187,147729,160028,176374,,248911,213485
O95714,HERC2_HUMAN,HERC2,E3 ubiquitin-protein ligase HERC2,,58364,,,555319,497330,401348,393379,711238,526208,516176,669799
O95718,ERR2_HUMAN,ESRRB,Steroid hormone receptor ERR2,,94992.1,,,,,,,,,500142,
O95721,SNP29_HUMAN,SNAP29,Synaptosomal-associated protein 29,,,,,207002,,,198670,446020,392836,333342,214093
O95747,OXSR1_HUMAN,OXSR1,Serine/threonine-protein kinase OSR1,195406,170446,177211,184608,322560,375229,473627,355621,345677,407822,303724,363356
O95754,SEM4F_HUMAN,SEMA4F,Semaphorin-4F,,,,,204759,218171,172474,156974,475070,529297,536903,514284
O95757,HS74L_HUMAN,HSPA4L,Heat shock 70 kDa protein 4L,,,,,390943,365622,254785,297010,362475,380741,316973,283702
O95782,AP2A1_HUMAN,AP2A1,AP-2 complex subunit alpha-1,323034,200410,293286,130636,556277,454864,576377,491789,612725,584612,584461,531262
O95785,WIZ_HUMAN,WIZ,Protein Wiz,,,,,,398361,500983,359209,,375901,400561,321863
O95793,STAU1_HUMAN,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,,,,,266818,138995,221480,102777,196113,231465,234329,164960
O95801,TTC4_HUMAN,TTC4,Tetratricopeptide repeat protein 4,,,,,,568529,,,417015,396671,529046,413120
O95816,BAG2_HUMAN,BAG2,BAG family molecular chaperone regulator 2,,,,,698930,721379,805311,535383,1522420,1617450,1229600,1464210
O95819,M4K4_HUMAN,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,162221,161271,134631,104696,323594,261216,348790,289503,269870,248453,,243404
O95831,AIFM1_HUMAN,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",1025580,1282720,1144140,1126920,15409700,14466700,17653900,13756000,9035360,9645640,8764540,8578500
O95835,LATS1_HUMAN,LATS1,Serine/threonine-protein kinase LATS1,,,,,758884,539578,473263,439661,,,,
O95864,FADS2_HUMAN,FADS2,Acyl-CoA 6-desaturase,1234530,656101,624974,485051,5042510,5201520,5710300,4599290,4950170,5752870,5165060,4652120
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A,,,,,933598,1037000,813658,823046,1264100,1456140,1130700,1167690
O95881,TXD12_HUMAN,TXNDC12,Thioredoxin domain-containing protein 12,,,,,731351,844860,871817,866435,4074000,3737220,3955140,3822950
O95900,TRUB2_HUMAN,TRUB2,"Pseudouridylate synthase TRUB2, mitochondrial",,,,,,462962,,453792,273699,313014,350420,292504
O95905,ECD_HUMAN,ECD,Protein ecdysoneless homolog,,,,,518168,411731,457796,452806,482212,447092,417601,298863
O95969,SG1D2_HUMAN,SCGB1D2,Secretoglobin family 1D member 2,,,,,625039,280606,268336,271101,,,,
O96000,NDUBA_HUMAN,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,1238730,1341030,1239410,1166580,5530300,5508240,5771080,4846380,5583530,5764420,5493460,5267870
O96005,CLPT1_HUMAN,CLPTM1,Putative lipid scramblase CLPTM1,,,,,1616610,1718500,1716750,1404470,6232850,6771340,6165430,5992220
O96006,ZBED1_HUMAN,ZBED1,E3 SUMO-protein ligase ZBED1,,99935.1,,559359,1297720,1199320,1483860,995873,,,,
O96008,TOM40_HUMAN,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,,,,,1957980,1921180,1943360,1800810,2626090,2227160,2364170,2191820
O96011,PX11B_HUMAN,PEX11B,Peroxisomal membrane protein 11B,405572,389845,377534,296658,3343190,3233360,3631480,3282880,4517260,4678540,4583360,4050790
O96014,WNT11_HUMAN,WNT11,Protein Wnt-11,,,,,,,,,311474,318357,328888,276445
O96019,ACL6A_HUMAN,ACTL6A,Actin-like protein 6A,2220670,807150,1288560,1396290,2224450,2417120,2850620,2399500,,2278380,2051760,2086250
O96028,NSD2_HUMAN,NSD2,Histone-lysine N-methyltransferase NSD2,,,,,18218.5,29636.1,25487.5,,,25507.4,,21418.9
P00338,LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain,389847,341681,755123,720096,4836560,4524620,5368330,4211500,3181160,2961920,3386930,2714020
P00367,DHE3_HUMAN,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",1213780,,,,10152700,10219600,11716600,9054800,4428340,4763080,4307530,4162240
P00387,NB5R3_HUMAN,CYB5R3,NADH-cytochrome b5 reductase 3,,,,,,169757,,,,,140966,138206
P00390,GSHR_HUMAN,GSR,"Glutathione reductase, mitochondrial",,,,,437532,,342888,311812,332094,,277405,
P00403,COX2_HUMAN,MT-CO2,Cytochrome c oxidase subunit 2,,,,,578457,600985,1132800,804263,395004,683006,437919,793634
P00414,COX3_HUMAN,MT-CO3,Cytochrome c oxidase subunit 3,772609,750563,559958,585391,9012750,9398600,8705680,8593670,7630070,6988480,6611660,6073230
P00450,CERU_HUMAN,CP,Ceruloplasmin,9269490,9352140,7786000,8851580,8972330,8100760,8895490,7678940,7833250,8428000,8286820,7629160
P00488,F13A_HUMAN,F13A1,Coagulation factor XIII A chain,911853,731250,593574,678327,1000020,872815,970911,989090,730678,722850,551614,795990
P00491,PNPH_HUMAN,PNP,Purine nucleoside phosphorylase,,,97361.9,,419285,66496.3,387799,257232,322273,349182,319238,302682
P00492,HPRT_HUMAN,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,,,,,139696,83548.1,128091,150551,117844,127296,117452,132061
P00505,AATM_HUMAN,GOT2,"Aspartate aminotransferase, mitochondrial",,,,,543754,508071,,499765,287425,573218,409798,282749
P00533,EGFR_HUMAN,EGFR,Epidermal growth factor receptor,219661,157574,138148,175793,239560,273143,239363,134502,211075,219331,207204,169360
P00558,PGK1_HUMAN,PGK1,Phosphoglycerate kinase 1,4373740,3478900,3450810,4032030,4789810,4335700,4733000,3942160,4508720,5415310,4489950,4902620
P00736,C1R_HUMAN,C1R,Complement C1r subcomponent,4913190,3146480,3334090,4990650,4986810,3186610,3146730,4873090,5361180,4196420,2979870,4087950
P00738,HPT_HUMAN,HP,Haptoglobin,5130000,5457210,4761920,6528270,3836240,,6277620,5208280,3845700,4143140,4783500,5899460
P00742,FA10_HUMAN,F10,Coagulation factor X,3697730,3106520,2323190,2562740,3175740,3365720,3449510,2395590,2137950,2978810,2642580,3299000
P00747,PLMN_HUMAN,PLG,Plasminogen,,1234780,889985,1133200,,,,,,,,
P00750,TPA_HUMAN,PLAT,Tissue-type plasminogen activator,,,,,3562680,,2361860,,10115000,13774300,9942850,9862370
P00966,ASSY_HUMAN,ASS1,Argininosuccinate synthase,386470,335784,359559,356411,715432,661203,583077,589187,454806,469508,472580,446110
P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III,1150340,692908,817386,873842,1127650,1088580,1067660,1054680,885247,730406,691630,1040610
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin,9253500,8932680,8076970,8958030,5340580,5672610,7772780,6733620,7407620,7225310,7980690,8632100
P01024,CO3_HUMAN,C3,Complement C3,54205600,41556000,41019300,43976500,47312400,42556400,48897000,43745700,47813200,49707100,44975000,46492900
P01031,CO5_HUMAN,C5,Complement C5,241798,217447,114705,249607,251982,92630.6,245666,118117,91961.1,235422,108147,209354
P01111;P01116,RASK_HUMAN;RASN_HUMAN,KRAS;NRAS,GTPase NRas,353051,266132,263496,290514,592263,549951,592700,494878,451223,475601,451072,381762
P01130,LDLR_HUMAN,LDLR,Low-density lipoprotein receptor,,,,,,,,255251,597519,521353,447353,
P01137,TGFB1_HUMAN,TGFB1,Transforming growth factor beta-1 proprotein,,,,,,1689640,,,4490310,5194970,4718570,4179340
P01768;P01772;P0DP03,HV330_HUMAN;HV333_HUMAN;HVC05_HUMAN,IGHV3-30;IGHV3-30-5;IGHV3-33,Immunoglobulin heavy variable 3-30,15129300,20560000,8992970,11445800,17209500,19088400,16210600,32693800,18857400,15501000,18145200,16822500
P01780,HV307_HUMAN,IGHV3-7,Immunoglobulin heavy variable 3-7,,,,,126774,,,,,,,
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,,,,,12396500,6413440,4181650,3548560,2667930,1288550,1125800,1279510
P01859,IGHG2_HUMAN,IGHG2,Immunoglobulin heavy constant gamma 2,330802000,287556000,272978000,275380000,289980000,267910000,295657000,258402000,268183000,295735000,257121000,258586000
P01876;P01877,IGHA1_HUMAN;IGHA2_HUMAN,IGHA1;IGHA2,Immunoglobulin heavy constant alpha 1,,,,,2822730,1116660,889219,564808,683146,532447,,382880
P01889,HLAB_HUMAN,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",416556,373208,319864,,7277150,6965730,6989430,6510760,37360800,36790400,37505400,36897900
P01911,DRB1_HUMAN,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1 beta chain",,,,,2367400,2518120,2474560,2347850,8165970,7533630,8025910,8844130
P01920,DQB1_HUMAN,HLA-DQB1,"HLA class II histocompatibility antigen, DQ beta 1 chain",,,,,166670,167563,167773,,849092,950307,898358,828414
P02461,CO3A1_HUMAN,COL3A1,Collagen alpha-1(III) chain,1791170,4729830,3363290,3247570,4768380,5139420,4680520,3475210,4864670,5417230,4693670,4673730
P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",10581700,21251600,17310900,10523700,8872610,10419000,13059400,5237000,4603620,14050400,5532340,7318460
P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",4217930,13343700,8604790,2268030,4079900,5559520,6818200,2129850,1972670,8805830,2324750,4074150
P02545,LMNA_HUMAN,LMNA,Prelamin-A/C,197707,113474,79738.2,,158971,127247,150888,115781,215232,249427,219819,271993
P02647,APOA1_HUMAN,APOA1,Apolipoprotein A-I,,1287470,,,1924310,608326,,,,,,
P02649,APOE_HUMAN,APOE,Apolipoprotein E,89073600,84677600,74417500,73256400,74340200,65946400,76105900,62658100,73984800,78752600,67832400,67057300
P02654,APOC1_HUMAN,APOC1,Apolipoprotein C-I,7870350,7368970,6476540,7230720,6755810,6013280,7533540,6276580,7459880,7662800,4402100,7306480
P02671,FIBA_HUMAN,FGA,Fibrinogen alpha chain,,,,,173089,,,,47878.3,,,
P02675,FIBB_HUMAN,FGB,Fibrinogen beta chain,18763800,19056700,17682700,16955200,23343500,22566900,20726300,20590900,22166700,25037300,23456000,22130100
P02679,FIBG_HUMAN,FGG,Fibrinogen gamma chain,34258600,30507500,28632000,33323700,27325300,26541000,33539100,30691300,27515500,30969300,29117700,33110500
P02751,FINC_HUMAN,FN1,Fibronectin,14925400,15367900,13187400,12710400,14901300,15396900,13675400,13194900,14880500,15532000,14440600,13862700
P02768,ALBU_HUMAN,ALB,Albumin,21447700,16632100,17330700,15096500,48483800,25365000,18025800,17380400,17751400,15980800,13753200,14531200
P02786,TFR1_HUMAN,TFRC,Transferrin receptor protein 1,647315,717616,536477,316565,4541090,4283350,4166950,4016990,12678500,12572300,12348600,12134300
P03886,NU1M_HUMAN,MT-ND1,NADH-ubiquinone oxidoreductase chain 1,,,,,364980,337696,433540,286382,434373,508658,385372,353629
P03891,NU2M_HUMAN,MT-ND2,NADH-ubiquinone oxidoreductase chain 2,,,,,,3839050,5912760,5258480,4666970,4514910,3361480,4441190
P03905,NU4M_HUMAN,MT-ND4,NADH-ubiquinone oxidoreductase chain 4,,,206929,,2778730,2983980,2989890,1807530,2066040,1713470,1945900,1764320
P03950,ANGI_HUMAN,ANG,Angiogenin,,,,,,,,,1272240,1091550,1134480,912446
P04004,VTNC_HUMAN,VTN,Vitronectin,36240400,,,,,,,,,,,
P04035,HMDH_HUMAN,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,,,631105,778668,1008030,705849,988805,934762,1067430,1111470
P04040,CATA_HUMAN,CAT,Catalase,700018,597602,728611,523832,772370,806662,635722,374526,415308,665241,757739,506402
P04049,RAF1_HUMAN,RAF1,RAF proto-oncogene serine/threonine-protein kinase,675208,1042880,902187,1032380,10183800,11374000,12443800,9779720,5482460,5479670,5773350,5217760
P04062,GBA1_HUMAN,GBA1,Lysosomal acid glucosylceramidase,,,,,1264410,1092500,1233530,1108560,2608170,2582130,2350140,2633790
P04080,CYTB_HUMAN,CSTB,Cystatin-B,290849,259809,307340,338781,535019,447248,509562,459795,595651,886398,615877,639858
P04083,ANXA1_HUMAN,ANXA1,Annexin A1,208449,,613134,125995,92362.4,169940,,,,108809,,
P04114,APOB_HUMAN,APOB,Apolipoprotein B-100,930919,1273030,935985,1010410,1708610,1397550,1435010,1135050,1348810,1151140,1230410,1281960
P04181,OAT_HUMAN,OAT,"Ornithine aminotransferase, mitochondrial",,,,,543350,426470,432130,267627,277929,253416,302651,154112
P04259,K2C6B_HUMAN,KRT6B,"Keratin, type II cytoskeletal 6B",906999,7389340,3874440,1179650,1941440,2177430,3499160,830301,,1261880,618589,1600150
P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",423764000,256054000,403769000,250846000,330597000,320457000,325140000,158589000,191557000,353019000,227392000,209104000
P04350,TBB4A_HUMAN,TUBB4A,Tubulin beta-4A chain,76029500,63516700,56904600,43029000,399832000,333359000,344256000,238226000,199857000,225402000,212316000,227923000
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,7230110,7245260,9150490,6497310,5858910,7502760,8850560,7459150,10284800,11907600,6305630,8054280
P04439,HLAA_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",1189790,1424420,837583,1177350,29140400,27716000,26057200,24184400,124498000,133504000,122555000,120556000
P04637,P53_HUMAN,TP53,Cellular tumor antigen p53,254686,301190,230470,203859,875994,757999,765946,513593,474433,701988,407227,863605
P04792,HSPB1_HUMAN,HSPB1,Heat shock protein beta-1,1601730,1872380,2120320,1551110,8948500,7435670,7897500,6155730,11206800,12150600,11911100,9961170
P04843,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,2527500,3282760,3440840,2288800,83888300,79977400,89171000,85105000,148183000,154653000,146589000,145342000
P04844,RPN2_HUMAN,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,,675759,774534,943173,45973000,26769800,26239600,41854500,56909900,58094000,49962300,47033800
P04899,GNAI2_HUMAN,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,1165220,1532220,1491250,1356760,3368100,4101330,3594870,2967700,2736960,2760450,2553960,2178750
P04920,B3A2_HUMAN,SLC4A2,Anion exchange protein 2,,,,,900624,169770,1255470,1264100,3950810,4419380,6036430,2956060
P05023,AT1A1_HUMAN,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,1559640,1764650,1498170,1843790,25998000,26397000,32915300,25541200,19269200,25478000,27835800,30569200
P05026,AT1B1_HUMAN,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,,,,,,1086200,,,1208560,929883,,
P05067,A4_HUMAN,APP,Amyloid-beta precursor protein,,,,,753473,1030140,887794,973760,2075280,2009280,1912270,1799900
P05089,ARGI1_HUMAN,ARG1,Arginase-1,756753,393645,559732,566087,513454,596890,672420,425881,304538,579509,451358,444389
P05090,APOD_HUMAN,APOD,Apolipoprotein D,,,,,469472,326693,,,,,173948,
P05091,ALDH2_HUMAN,ALDH2,"Aldehyde dehydrogenase, mitochondrial",,,,71956.8,275499,279626,220994,287525,205908,243017,198864,155493
P05109,S10A8_HUMAN,S100A8,Protein S100-A8,412228,227295,382914,393631,1579050,841228,678067,475662,600848,618083,533144,591883
P05141,ADT2_HUMAN,SLC25A5,ADP/ATP translocase 2,96130000,106361000,91157400,108477000,2485530000,2400150000,2422300000,2228980000,880942000,900647000,920810000,875640000
P05155,IC1_HUMAN,SERPING1,Plasma protease C1 inhibitor,1173930,1384300,1366080,1411430,956769,1385490,1202270,1145620,1010910,975440,1016530,1134610
P05198,IF2A_HUMAN,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1,1126600,860627,836699,836383,881397,924628,1071980,947155,876235,887245,911724,996803
P05387,RLA2_HUMAN,RPLP2,Large ribosomal subunit protein P2,,885964,504150,550463,4908300,3747590,5179590,4195910,4945740,5737750,4302700,3852540
P05388,RLA0_HUMAN,RPLP0,Large ribosomal subunit protein uL10,15258000,19896400,25006800,17534600,33098400,30968600,35229600,25460700,27636700,28798600,31531600,29991000
P05546,HEP2_HUMAN,SERPIND1,Heparin cofactor 2,574286,636910,428547,457959,641266,593921,632304,471908,627324,483218,350367,753182
P05556,ITB1_HUMAN,ITGB1,Integrin beta-1,,,,,,,,,1613360,1543370,1453350,1447220
P05783,K1C18_HUMAN,KRT18,"Keratin, type I cytoskeletal 18",4590510,4522880,5028860,6094810,1128390,1059740,1662850,1204080,1832810,2109240,1888330,1938790
P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8",6821690,6188200,6410340,6747000,1784580,1665140,2100450,1775960,2536570,2876770,2480000,2534970
P06213,INSR_HUMAN,INSR,Insulin receptor,,,,,664377,,1210730,1040840,1655660,1265140,1462640,1201180
P06280,AGAL_HUMAN,GLA,Alpha-galactosidase A,,,,,1542480,1636950,1699620,1450870,4822950,4714290,4419510,4415620
P06312,KV401_HUMAN,IGKV4-1,Immunoglobulin kappa variable 4-1,54136200,56751200,62286500,63738400,59751100,50709800,53725000,65508500,56169100,62852500,64241000,56425600
P06396,GELS_HUMAN,GSN,Gelsolin,1028140,698993,668532,630723,781949,774527,779178,946784,765298,669948,519468,820856
P06493,CDK1_HUMAN,CDK1,Cyclin-dependent kinase 1,3319060,2110830,2016380,2099980,8836430,7858500,10593800,7749940,7356360,7248440,7051300,7453360
P06576,ATPB_HUMAN,ATP5F1B,"ATP synthase subunit beta, mitochondrial",672019,,403148,,5844570,5754460,7264610,6017000,2452840,3165790,3004390,3245530
P06702,S10A9_HUMAN,S100A9,Protein S100-A9,2961770,1453620,2116850,1822490,8900890,6738000,5507320,2358710,2204590,3004000,4179000,2431450
P06730,IF4E_HUMAN,EIF4E,Eukaryotic translation initiation factor 4E,3673310,3041270,2793100,2710930,3011290,3110620,3451850,3105110,2744480,2664240,2755160,3157140
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,30617600,21910200,21243900,18843100,28484600,24991000,28073800,24257700,22120900,22349500,18435500,20563300
P06737,PYGL_HUMAN,PYGL,"Glycogen phosphorylase, liver form",423381,698956,934490,765135,2327200,3435160,2750210,2241110,568902,3402130,1044970,496053
P06744,G6PI_HUMAN,GPI,Glucose-6-phosphate isomerase,,,,,46837.3,47563.7,59521.8,,,28199.1,56909.9,
P06748,NPM_HUMAN,NPM1,Nucleophosmin,10856900,10981200,11224200,10103300,19519700,16222000,18978600,18944400,14457800,14638900,13741700,14613100
P06756,ITAV_HUMAN,ITGAV,Integrin alpha-V,,,,,462744,543074,469706,426726,2495270,2584370,2341400,2500100
P06858,LIPL_HUMAN,LPL,Lipoprotein lipase,,70501.6,,,131810,114646,,71095.2,224078,237574,227869,184812
P06865,HEXA_HUMAN,HEXA,Beta-hexosaminidase subunit alpha,,,,,,,,,728327,593015,687217,708068
P07093,GDN_HUMAN,SERPINE2,Glia-derived nexin,,,,,600830,821533,835016,775087,1255930,977216,1575220,1140090
P07099,HYEP_HUMAN,EPHX1,Epoxide hydrolase 1,,,,,,,,,431660,281530,404136,337599
P07195,LDHB_HUMAN,LDHB,L-lactate dehydrogenase B chain,130968,115403,,95804.6,1075080,958699,1288290,960259,728219,736541,607623,602406
P07196,NFL_HUMAN,NEFL,Neurofilament light polypeptide,6249800,8329290,8323470,7379370,1472260,1641210,2015630,1513040,1771960,1947480,1908160,1567900
P07197,NFM_HUMAN,NEFM,Neurofilament medium polypeptide,15188500,17323300,16134000,15533400,2589470,2859390,2668030,2632800,2756400,3430200,2342530,2135480
P07203,GPX1_HUMAN,GPX1,Glutathione peroxidase 1,2323930,1777900,1603020,1954020,1909680,1504050,2140490,1873530,1764530,1755710,1590210,1788340
P07237,PDIA1_HUMAN,P4HB,Protein disulfide-isomerase,,429580,,678966,9038120,8539740,8226290,8799220,25458400,24891300,24144200,25708600
P07339,CATD_HUMAN,CTSD,Cathepsin D,,,,,293541,268488,237615,260293,412153,317626,418149,477877
P07355,ANXA2_HUMAN,ANXA2,Annexin A2,792833,711608,817906,463608,1199080,1092190,1281580,995619,1015370,1063090,1100750,1260000
P07384,CAN1_HUMAN,CAPN1,Calpain-1 catalytic subunit,102256,,,119946,305849,441374,346486,253291,350460,424849,257988,287915
P07437,TBB5_HUMAN,TUBB,Tubulin beta chain,140457000,135024000,139039000,105072000,766677000,743634000,739238000,731506000,488016000,525293000,507542000,512176000
P07686,HEXB_HUMAN,HEXB,Beta-hexosaminidase subunit beta,,,,,275335,214839,203854,353323,2255060,2159180,1895500,1337640
P07711,CATL1_HUMAN,CTSL,Procathepsin L,,,,,,,,,587286,612839,717427,796397
P07737,PROF1_HUMAN,PFN1,Profilin-1,3310940,2529320,2280730,2625980,2846660,2478850,3016770,2730330,2790040,2922000,2792330,2674870
P07741,APT_HUMAN,APRT,Adenine phosphoribosyltransferase,36944000,33538400,34307500,36419800,31459200,29199600,36971500,30649600,28835200,31496400,30122200,34113100
P07814,SYEP_HUMAN,EPRS1,Bifunctional glutamate/proline--tRNA ligase,2923580,2995570,2493100,2320030,4060910,2957460,3359280,3214910,3478150,3393850,3527020,2950230
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,41981900,40137000,33818100,37882600,42838400,40700900,46829300,40863600,39390500,42511100,38229400,38327600
P07919,QCR6_HUMAN,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",438167,675728,,,9189750,8969630,7777290,7692990,6070610,6270520,6107650,5025510
P07942,LAMB1_HUMAN,LAMB1,Laminin subunit beta-1,,,,,1443890,1405590,453994,62276.5,2261360,2329090,2673690,2250790
P07947,YES_HUMAN,YES1,Tyrosine-protein kinase Yes,262727,827152,711879,219422,448381,655703,465194,409083,325381,348334,650885,370884
P07996,TSP1_HUMAN,THBS1,Thrombospondin-1,,,,89404.2,713042,739478,858489,863411,172671,388401,352792,370516
P08069,IGF1R_HUMAN,IGF1R,Insulin-like growth factor 1 receptor,,,,,987325,927112,823062,975533,3284130,3335210,3381700,3245480
P08174,DAF_HUMAN,CD55,Complement decay-accelerating factor,,,,,169112,208631,251979,217578,701526,756962,708848,526410
P08183,MDR1_HUMAN,ABCB1,ATP-dependent translocase ABCB1,,,,,,,,,562845,489539,550087,544632
P08195,4F2_HUMAN,SLC3A2,Amino acid transporter heavy chain SLC3A2,,,,,27786000,28569800,24477800,21813600,47828300,46607400,46081600,48529000
P08236,BGLR_HUMAN,GUSB,Beta-glucuronidase,248074,346225,269420,239274,3709390,3785500,2996720,2760390,7344430,6580250,6819840,5682920
P08237,PFKAM_HUMAN,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",148696,208600,,246515,844966,783853,825988,749285,585993,656695,592434,623485
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,70224700,60907500,51470100,53499700,73298200,78792200,83296200,76689300,65573000,77237000,72664400,74193300
P08240,SRPRA_HUMAN,SRPRA,Signal recognition particle receptor subunit alpha,573556,846949,397187,971251,3510000,3518620,3019260,2907510,2852070,2412310,2542410,2414750
P08243,ASNS_HUMAN,ASNS,Asparagine synthetase [glutamine-hydrolyzing],2926460,2868270,2650470,2433030,2939590,2800560,3204410,2705530,2934230,3066870,2921150,2835650
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial",5216520,5929810,5840510,5952740,73903600,73275800,63290600,60130500,54188000,50178100,51266300,50847700
P08581,MET_HUMAN,MET,Hepatocyte growth factor receptor,,,,,269014,247199,,,564232,650668,518468,546167
P08621,RU17_HUMAN,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa,201978,258865,174940,216831,421949,364485,386407,338875,439392,455756,506922,395083
P08631,HCK_HUMAN,HCK,Tyrosine-protein kinase HCK,,2949840,2115030,2026850,4192880,3201180,3101150,2435550,2120070,1820170,2026860,1087780
P08648,ITA5_HUMAN,ITGA5,Integrin alpha-5,,,,,297709,,,,1740080,1784120,1643800,1468370
P08670,VIME_HUMAN,VIM,Vimentin,751550000,757687000,718387000,753162000,60108000,39961100,66936000,55783100,19172200,24822700,19688600,22392900
P08708,RS17_HUMAN,RPS17,Small ribosomal subunit protein eS17,8049170,11704800,8879180,12392300,12016200,11523600,14838800,13549000,17281700,22984800,13142100,13751200
P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",1464880,8528660,5109290,1183100,3394720,2777880,7867900,853717,720999,14018400,977171,2568640
P08949,NMB_HUMAN,NMB,Neuromedin-B,,,,,1251170,1642310,1530990,1674210,6687170,6984500,6090170,7091280
P09001,RM03_HUMAN,MRPL3,Large ribosomal subunit protein uL3m,,,,,493293,489046,480341,358169,,,,
P09012,SNRPA_HUMAN,SNRPA,U1 small nuclear ribonucleoprotein A,281109,290609,241680,307217,185766,238866,140493,141308,112076,165679,146378,144224
